GICDeviceID,SampleDateTime,GICMeasured
10237,8/25/2018 7:10:54 PM,-1.50
10237,8/25/2018 7:11:56 PM,-1.40
10237,8/25/2018 7:12:13 PM,-1.50
10237,8/25/2018 7:13:24 PM,-1.40
10237,8/25/2018 7:13:54 PM,-1.30
10237,8/25/2018 7:14:08 PM,-1.40
10237,8/25/2018 7:14:16 PM,-1.40
10237,8/25/2018 7:14:30 PM,-1.30
10237,8/25/2018 7:14:58 PM,-1.20
10237,8/25/2018 7:14:58 PM,-1.40
10237,8/25/2018 7:15:03 PM,-1.70
10237,8/25/2018 7:15:16 PM,-1.50
10237,8/25/2018 7:15:23 PM,-1.70
10237,8/25/2018 7:15:28 PM,-1.30
10237,8/25/2018 7:15:28 PM,-2.20
10237,8/25/2018 7:15:38 PM,-1.70
10237,8/25/2018 7:15:44 PM,-1.50
10237,8/25/2018 7:15:48 PM,0.00
10237,8/25/2018 7:15:57 PM,-1.50
10237,8/25/2018 7:16:03 PM,-1.70
10237,8/25/2018 7:16:27 PM,-1.80
10237,8/25/2018 7:16:33 PM,-1.90
10237,8/25/2018 7:16:37 PM,-2.00
10237,8/25/2018 7:16:43 PM,-1.90
10237,8/25/2018 7:16:48 PM,-1.40
10237,8/25/2018 7:16:50 PM,-1.30
10237,8/25/2018 7:16:55 PM,-1.20
10237,8/25/2018 7:17:03 PM,-1.30
10237,8/25/2018 7:17:09 PM,-1.40
10237,8/25/2018 7:17:17 PM,-1.60
10237,8/25/2018 7:17:26 PM,-1.50
10237,8/25/2018 7:17:42 PM,-1.30
10237,8/25/2018 7:17:54 PM,-1.20
10237,8/25/2018 7:18:04 PM,-1.30
10237,8/25/2018 7:18:32 PM,-1.20
10237,8/25/2018 7:18:46 PM,-1.10
10237,8/25/2018 7:19:02 PM,-1.00
10237,8/25/2018 7:19:07 PM,-1.10
10237,8/25/2018 7:19:26 PM,0.00
10237,8/25/2018 7:19:51 PM,-1.10
10237,8/25/2018 7:20:07 PM,-1.00
10237,8/25/2018 7:20:14 PM,-0.90
10237,8/25/2018 7:20:23 PM,-1.00
10237,8/25/2018 7:21:02 PM,-0.90
10237,8/25/2018 7:21:27 PM,-1.00
10237,8/25/2018 7:21:35 PM,-1.10
10237,8/25/2018 7:21:48 PM,-1.00
10237,8/25/2018 7:21:54 PM,-0.90
10237,8/25/2018 7:22:11 PM,-1.00
10237,8/25/2018 7:22:24 PM,-0.90
10237,8/25/2018 7:22:36 PM,-1.00
10237,8/25/2018 7:23:04 PM,-0.90
10237,8/25/2018 7:23:19 PM,-1.10
10237,8/25/2018 7:23:27 PM,-1.20
10237,8/25/2018 7:23:43 PM,-1.40
10237,8/25/2018 7:23:48 PM,-1.10
10237,8/25/2018 7:23:57 PM,-1.20
10237,8/25/2018 7:24:03 PM,-1.30
10237,8/25/2018 7:24:22 PM,-1.20
10237,8/25/2018 7:24:42 PM,-1.00
10237,8/25/2018 7:24:46 PM,-0.90
10237,8/25/2018 7:24:50 PM,-0.80
10237,8/25/2018 7:25:33 PM,-0.70
10237,8/25/2018 7:25:44 PM,-0.80
10237,8/25/2018 7:25:51 PM,-0.90
10237,8/25/2018 7:25:57 PM,-0.80
10237,8/25/2018 7:26:05 PM,-0.70
10237,8/25/2018 7:26:14 PM,-0.60
10237,8/25/2018 7:26:20 PM,-0.70
10237,8/25/2018 7:26:34 PM,-0.50
10237,8/25/2018 7:26:46 PM,-0.40
10237,8/25/2018 7:26:52 PM,-0.30
10237,8/25/2018 7:27:09 PM,0.00
10237,8/25/2018 7:27:14 PM,0.20
10237,8/25/2018 7:27:18 PM,0.30
10237,8/25/2018 7:27:28 PM,0.10
10237,8/25/2018 7:27:34 PM,-1.30
10237,8/25/2018 7:27:34 PM,0.20
10237,8/25/2018 7:27:38 PM,0.30
10237,8/25/2018 7:27:54 PM,0.40
10237,8/25/2018 7:28:28 PM,0.30
10237,8/25/2018 7:28:37 PM,0.20
10237,8/25/2018 7:28:44 PM,0.10
10237,8/25/2018 7:28:44 PM,-1.20
10237,8/25/2018 7:29:11 PM,0.00
10237,8/25/2018 7:29:15 PM,-0.10
10237,8/25/2018 7:29:27 PM,-0.20
10237,8/25/2018 7:29:31 PM,-0.30
